3600,21.7053191489362
7200,21.0053191489362
10800,20.4095744680851
14400,19.9148936170213
18000,19.7744680851064
21600,21.2778670212766
25200,26.8901776595745
28800,35.7036904255319
32400,44.5656489361702
36000,52.0688872340426
39600,57.823920212766
43200,61.2504021276596
46800,62.1650159574468
50400,60.8069021276596
54000,56.9034734042553
57600,52.1383776595745
61200,44.6763244680851
64800,37.0699670212766
68400,30.679564893617
72000,27.6617021276596
75600,25.9085106382979
79200,24.5031914893617
82800,23.4095744680851
86400,22.4872340425532
