3600,8.07865168539326
7200,7.83258426966292
10800,7.59550561797753
14400,7.40112359550562
18000,7.21460674157303
21600,7.08988764044944
25200,7.67853292134831
28800,11.7385758426966
32400,20.673131011236
36000,27.1125086516854
39600,32.5454235955056
43200,34.6789820224719
46800,35.0138617977528
50400,34.7490078651685
54000,32.0717146067416
57600,27.7939775280899
61200,18.8772171910112
64800,12.0072623595506
68400,10.4943820224719
72000,9.99662921348315
75600,9.59438202247191
79200,9.18988764044944
82800,8.80112359550562
86400,8.46179775280899
