Time stamp,System power generated | (kW),Weather file ambient temperature | (C),AC inverter output power | (W),AC inverter output power before system availability | (W),Angle of incidence | (degrees),Albedo,Calculated self-shading factor for beam radiation,Calculated self-shading factor for ground-reflected diffuse radiation,Calculated self-shading factor for sky diffuse radiation,DC inverter input power | (W),DC power loss due to snow | (%),External shading factor for beam radiation,Inverter efficiency | (%),Module temperature | (C),Soiling factor,Plane of array irradiance | (W/m2),System power before grid curtailment | (kW),Sun up over horizon | (0/1),System power before grid interconnect | (kW),Transmitted plane of array irradiance | (W/m2),Weather file beam irradiance | (W/m2),Weather file diffuse irradiance | (W/m2),Weather file global horizontal irradiance | (W/m2),Weather file snow depth | (cm),Weather file wind speed | (m/s)
"Jan 1, 12:00 am",0,7.1,0,0,0,0.16,1,1,1,0,0,1,0,7.1,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 1, 01:00 am",0,6.8,0,0,0,0.16,1,1,1,0,0,1,0,6.8,0,0,0,0,0,0,0,0,0,nan,1.1
"Jan 1, 02:00 am",0,7.3,0,0,0,0.16,1,1,1,0,0,1,0,7.3,0,0,0,0,0,0,0,0,0,nan,0.9
"Jan 1, 03:00 am",0,7.8,0,0,0,0.16,1,1,1,0,0,1,0,7.8,0,0,0,0,0,0,0,0,0,nan,0.7
"Jan 1, 04:00 am",0,7.3,0,0,0,0.16,1,1,1,0,0,1,0,7.3,0,0,0,0,0,0,0,0,0,nan,0.8
"Jan 1, 05:00 am",0,6.7,0,0,0,0.16,1,1,1,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,nan,1
"Jan 1, 06:00 am",0,6.8,0,0,0,0.16,1,1,1,0,0,1,0,6.8,0,0,0,0,0,0,0,0,0,nan,1
"Jan 1, 07:00 am",0.00459831,7.9,4.59831,4.59831,78.1122,0.16,1,1,1,8.56031,0,1,53.7166,8.42684,0,18.436,0.00459831,1,0,16.494,33,12,13,nan,1
"Jan 1, 08:00 am",0.192776,10.2,192.776,192.776,66.207,0.16,1,1,1,203.651,0,1,94.6601,18.2691,0,240.527,0.192776,1,0,231.569,394,61,138,nan,1.2
"Jan 1, 09:00 am",0.31743,12.7,317.43,317.43,55.3288,0.16,1,1,1,332.884,0,1,95.3575,24.8124,0,383.16,0.31743,1,0,379.394,443,103,251,nan,1.5
"Jan 1, 10:00 am",0.514688,14.4,514.688,514.688,46.5225,0.16,1,1,1,537.389,0,1,95.7758,34.1053,0,637.434,0.514688,1,0,633.979,767,81,414,nan,1.6
"Jan 1, 11:00 am",0.483539,15.4,483.539,483.539,41.178,0.16,1,1,1,505.095,0,1,95.7322,33.175,0,601.474,0.483539,1,0,596.101,555,146,417,nan,1.8
"Jan 1, 12:00 pm",0.584618,16.2,584.618,584.618,40.6938,0.16,1,1,1,609.887,0,1,95.8567,36.5994,0,733.284,0.584618,1,0,729.475,810,88,487,nan,2.1
"Jan 1, 01:00 pm",0.49518,16.5,495.18,495.18,45.2272,0.16,1,1,1,517.164,0,1,95.7492,31.9455,0,610.11,0.49518,1,0,605.658,655,112,405,nan,2.6
"Jan 1, 02:00 pm",0.215356,16,215.356,215.356,53.5119,0.16,1,1,1,227.06,0,1,94.8453,22.5393,0,263.235,0.215356,1,0,259.034,189,135,202,nan,2.7
"Jan 1, 03:00 pm",0.114212,15.6,114.212,114.212,64.0922,0.16,1,1,1,122.201,0,1,93.4626,19.2488,0,144.9,0.114212,1,0,140.98,116,83,109,nan,2.6
"Jan 1, 04:00 pm",0.00483289,11.2,4.83289,4.83289,75.9112,0.16,1,1,1,8.80351,0,1,54.8973,11.6705,0,17.7937,0.00483289,1,0,17.192,3,18,18,nan,1.5
"Jan 1, 05:00 pm",0,9.8,0,0,0,0.16,1,1,1,0,0,1,0,9.8,0,0,0,0,0,0,0,0,0,nan,1.5
"Jan 1, 06:00 pm",0,9.2,0,0,0,0.16,1,1,1,0,0,1,0,9.2,0,0,0,0,0,0,0,0,0,nan,1.5
"Jan 1, 07:00 pm",0,8.7,0,0,0,0.16,1,1,1,0,0,1,0,8.7,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 1, 08:00 pm",0,8.4,0,0,0,0.16,1,1,1,0,0,1,0,8.4,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 1, 09:00 pm",0,8.5,0,0,0,0.16,1,1,1,0,0,1,0,8.5,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 1, 10:00 pm",0,8.6,0,0,0,0.16,1,1,1,0,0,1,0,8.6,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 1, 11:00 pm",0,8.6,0,0,0,0.16,1,1,1,0,0,1,0,8.6,0,0,0,0,0,0,0,0,0,nan,1.8
"Jan 2, 12:00 am",0,8.2,0,0,0,0.16,1,1,1,0,0,1,0,8.2,0,0,0,0,0,0,0,0,0,nan,2
"Jan 2, 01:00 am",0,7.8,0,0,0,0.16,1,1,1,0,0,1,0,7.8,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 2, 02:00 am",0,7.4,0,0,0,0.16,1,1,1,0,0,1,0,7.4,0,0,0,0,0,0,0,0,0,nan,2.3
"Jan 2, 03:00 am",0,7,0,0,0,0.16,1,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 2, 04:00 am",0,6.8,0,0,0,0.16,1,1,1,0,0,1,0,6.8,0,0,0,0,0,0,0,0,0,nan,2.1
"Jan 2, 05:00 am",0,6.7,0,0,0,0.16,1,1,1,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,nan,2.1
"Jan 2, 06:00 am",0,6.7,0,0,0,0.16,1,1,1,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 2, 07:00 am",0.0176938,7.7,17.6938,17.6938,78.1738,0.16,1,1,1,22.1369,0,1,79.9291,8.71638,0,49.7432,0.0176938,1,0,41.0149,167,16,21,nan,2.3
"Jan 2, 08:00 am",0.158096,9.7,158.096,158.096,66.2521,0.16,1,1,1,167.697,0,1,94.2749,14.5377,0,196.446,0.158096,1,0,189.104,319,50,113,nan,2.7
"Jan 2, 09:00 am",0.087153,11.9,87.153,87.153,55.3487,0.16,1,1,1,94.1478,0,1,92.5705,14.4005,0,109.858,0.087153,1,0,107.018,11,105,109,nan,3.2
"Jan 2, 10:00 am",0.23941,14,239.41,239.41,46.5072,0.16,1,1,1,251.998,0,1,95.0047,19.9459,0,290.906,0.23941,1,0,285.096,116,188,238,nan,3.9
"Jan 2, 11:00 am",0.244953,15.3,244.953,244.953,41.118,0.16,1,1,1,257.744,0,1,95.0371,20.9263,0,299.768,0.244953,1,0,293.601,101,209,258,nan,4.5
"Jan 2, 12:00 pm",0.526579,16.1,526.579,526.579,40.5913,0.16,1,1,1,549.716,0,1,95.791,27.8502,0,640.702,0.526579,1,0,635.639,619,130,436,nan,4.7
"Jan 2, 01:00 pm",0.529533,16.4,529.533,529.533,45.0987,0.16,1,1,1,552.779,0,1,95.7947,28.5178,0,642.562,0.529533,1,0,638.808,739,88,420,nan,4.5
"Jan 2, 02:00 pm",0.464255,15.8,464.255,464.255,53.3741,0.16,1,1,1,485.103,0,1,95.7024,27.633,0,559.148,0.464255,1,0,556.28,785,66,347,nan,3.7
"Jan 2, 03:00 pm",0.287402,15.2,287.402,287.402,63.9542,0.16,1,1,1,301.753,0,1,95.2441,23.3711,0,353.64,0.287402,1,0,344.393,642,52,198,nan,3.1
"Jan 2, 04:00 pm",0.0435342,10.7,43.5342,43.5342,75.7801,0.16,1,1,1,48.9266,0,1,88.9787,13.2596,0,102.325,0.0435342,1,0,89.4431,269,25,43,nan,1.5
"Jan 2, 05:00 pm",0,9.5,0,0,0,0.16,1,1,1,0,0,1,0,9.5,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 2, 06:00 pm",0,9.2,0,0,0,0.16,1,1,1,0,0,1,0,9.2,0,0,0,0,0,0,0,0,0,nan,1
"Jan 2, 07:00 pm",0,9.2,0,0,0,0.16,1,1,1,0,0,1,0,9.2,0,0,0,0,0,0,0,0,0,nan,0.7
"Jan 2, 08:00 pm",0,9.3,0,0,0,0.16,1,1,1,0,0,1,0,9.3,0,0,0,0,0,0,0,0,0,nan,0.5
"Jan 2, 09:00 pm",0,9.4,0,0,0,0.16,1,1,1,0,0,1,0,9.4,0,0,0,0,0,0,0,0,0,nan,0.4
"Jan 2, 10:00 pm",0,9.5,0,0,0,0.16,1,1,1,0,0,1,0,9.5,0,0,0,0,0,0,0,0,0,nan,0.4
"Jan 2, 11:00 pm",0,9.3,0,0,0,0.16,1,1,1,0,0,1,0,9.3,0,0,0,0,0,0,0,0,0,nan,0.4
"Jan 3, 12:00 am",0,8.9,0,0,0,0.16,1,1,1,0,0,1,0,8.9,0,0,0,0,0,0,0,0,0,nan,0.6
"Jan 3, 01:00 am",0,8,0,0,0,0.16,1,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,nan,0.8
"Jan 3, 02:00 am",0,6.9,0,0,0,0.16,1,1,1,0,0,1,0,6.9,0,0,0,0,0,0,0,0,0,nan,1.1
"Jan 3, 03:00 am",0,6.2,0,0,0,0.16,1,1,1,0,0,1,0,6.2,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 3, 04:00 am",0,5.7,0,0,0,0.16,1,1,1,0,0,1,0,5.7,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 3, 05:00 am",0,5.5,0,0,0,0.16,1,1,1,0,0,1,0,5.5,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 3, 06:00 am",0,5.6,0,0,0,0.16,1,1,1,0,0,1,0,5.6,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 3, 07:00 am",0.006439,7.7,6.439,6.439,78.23,0.16,1,1,1,10.4686,0,1,61.5076,8.28448,0,22.8072,0.006439,1,0,19.9825,50,13,15,nan,1.4
"Jan 3, 08:00 am",0.235695,11.3,235.695,235.695,66.2922,0.16,1,1,1,248.147,0,1,94.9822,19.7237,0,293.694,0.235695,1,0,282.233,542,54,160,nan,1.9
"Jan 3, 09:00 am",0.318708,14.2,318.708,318.708,55.363,0.16,1,1,1,334.209,0,1,95.3619,23.9152,0,383.477,0.318708,1,0,379.592,436,107,253,nan,2.6
"Jan 3, 10:00 am",0.455683,16.3,455.683,455.683,46.4853,0.16,1,1,1,476.216,0,1,95.6883,28.9979,0,555.928,0.455683,1,0,551.288,578,121,372,nan,3.2
"Jan 3, 11:00 am",0.43696,18.1,436.96,436.96,41.0508,0.16,1,1,1,456.805,0,1,95.6557,29.6285,0,538.651,0.43696,1,0,532.3,418,181,386,nan,3.6
"Jan 3, 12:00 pm",0.472801,19.3,472.801,472.801,40.4818,0.16,1,1,1,493.963,0,1,95.7159,31.8526,0,586.286,0.472801,1,0,580.384,502,164,413,nan,3.6
"Jan 3, 01:00 pm",0.438594,19.9,438.594,438.594,44.9646,0.16,1,1,1,458.499,0,1,95.6586,32.0973,0,543.011,0.438594,1,0,537.908,519,140,374,nan,3.3
"Jan 3, 02:00 pm",0.455066,19.2,455.066,455.066,53.2321,0.16,1,1,1,475.577,0,1,95.6873,34.2883,0,562.728,0.455066,1,0,559.677,777,72,352,nan,2.3
"Jan 3, 03:00 pm",0.265074,18.3,265.074,265.074,63.8135,0.16,1,1,1,278.605,0,1,95.1434,28.5479,0,333.306,0.265074,1,0,324.811,574,57,189,nan,1.6
"Jan 3, 04:00 pm",0.021506,13.5,21.506,21.506,75.6484,0.16,1,1,1,26.0891,0,1,82.4328,14.913,0,53.6674,0.021506,1,0,49.278,79,26,31,nan,1.4
"Jan 3, 05:00 pm",0,12.1,0,0,0,0.16,1,1,1,0,0,1,0,12.1,0,0,0,0,0,0,0,0,0,nan,1.4
"Jan 3, 06:00 pm",0,11.4,0,0,0,0.16,1,1,1,0,0,1,0,11.4,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 3, 07:00 pm",0,10.6,0,0,0,0.16,1,1,1,0,0,1,0,10.6,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 3, 08:00 pm",0,9.8,0,0,0,0.16,1,1,1,0,0,1,0,9.8,0,0,0,0,0,0,0,0,0,nan,1.1
"Jan 3, 09:00 pm",0,9.1,0,0,0,0.16,1,1,1,0,0,1,0,9.1,0,0,0,0,0,0,0,0,0,nan,1.1
"Jan 3, 10:00 pm",0,8.6,0,0,0,0.16,1,1,1,0,0,1,0,8.6,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 3, 11:00 pm",0,8.3,0,0,0,0.16,1,1,1,0,0,1,0,8.3,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 4, 12:00 am",0,7.9,0,0,0,0.16,1,1,1,0,0,1,0,7.9,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 4, 01:00 am",0,7.4,0,0,0,0.16,1,1,1,0,0,1,0,7.4,0,0,0,0,0,0,0,0,0,nan,1.2
"Jan 4, 02:00 am",0,7.1,0,0,0,0.16,1,1,1,0,0,1,0,7.1,0,0,0,0,0,0,0,0,0,nan,1.1
"Jan 4, 03:00 am",0,7,0,0,0,0.16,1,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,nan,1
"Jan 4, 04:00 am",0,7.2,0,0,0,0.16,1,1,1,0,0,1,0,7.2,0,0,0,0,0,0,0,0,0,nan,0.9
"Jan 4, 05:00 am",0,7.4,0,0,0,0.16,1,1,1,0,0,1,0,7.4,0,0,0,0,0,0,0,0,0,nan,0.9
"Jan 4, 06:00 am",0,7.8,0,0,0,0.16,1,1,1,0,0,1,0,7.8,0,0,0,0,0,0,0,0,0,nan,0.8
"Jan 4, 07:00 am",0.00171273,9.4,1.71273,1.71273,78.2837,0.16,1,1,1,5.56873,0,1,30.7562,9.76878,0,11.4806,0.00171273,1,0,11.0046,4,11,11,nan,0.7
"Jan 4, 08:00 am",0.237857,12.2,237.857,237.857,66.3272,0.16,1,1,1,250.388,0,1,94.9954,23.352,0,300.513,0.237857,1,0,288.637,568,51,163,nan,0.8
"Jan 4, 09:00 am",0.353356,14.5,353.356,353.356,55.3712,0.16,1,1,1,370.13,0,1,95.4681,29.5229,0,432.246,0.353356,1,0,428.682,546,92,275,nan,1.1
"Jan 4, 10:00 am",0.423069,15.9,423.069,423.069,46.4564,0.16,1,1,1,442.404,0,1,95.6296,34.2175,0,527.849,0.423069,1,0,523.015,525,132,361,nan,1.1
"Jan 4, 11:00 am",0.58836,16.7,588.36,588.36,40.9759,0.16,1,1,1,613.767,0,1,95.8605,42.9628,0,756.675,0.58836,1,0,753.09,857,80,501,nan,1.1
"Jan 4, 12:00 pm",0.58078,17,580.78,580.78,40.3649,0.16,1,1,1,605.909,0,1,95.8528,40.9555,0,741.633,0.58078,1,0,737.694,811,92,495,nan,1.4
"Jan 4, 01:00 pm",0.559226,16.9,559.226,559.226,44.824,0.16,1,1,1,583.563,0,1,95.8297,37.2324,0,701.347,0.559226,1,0,697.784,832,82,459,nan,1.9
"Jan 4, 02:00 pm",0.452296,16.1,452.296,452.296,53.0849,0.16,1,1,1,472.704,0,1,95.6826,32.2099,0,555.021,0.452296,1,0,551.889,756,75,349,nan,1.9
"Jan 4, 03:00 pm",0.283744,15.5,283.744,283.744,63.6683,0.16,1,1,1,297.96,0,1,95.2287,26.0985,0,352.198,0.283744,1,0,343.471,606,60,200,nan,1.7
"Jan 4, 04:00 pm",0.0464162,11.9,46.4162,46.4162,75.5116,0.16,1,1,1,51.9144,0,1,89.4091,14.6895,0,103.262,0.0464162,1,0,91.2772,250,29,47,nan,1.3
"Jan 4, 05:00 pm",0,10.8,0,0,0,0.16,1,1,1,0,0,1,0,10.8,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 4, 06:00 pm",0,10.3,0,0,0,0.16,1,1,1,0,0,1,0,10.3,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 4, 07:00 pm",0,9.9,0,0,0,0.16,1,1,1,0,0,1,0,9.9,0,0,0,0,0,0,0,0,0,nan,1.6
"Jan 4, 08:00 pm",0,9.7,0,0,0,0.16,1,1,1,0,0,1,0,9.7,0,0,0,0,0,0,0,0,0,nan,1.7
"Jan 4, 09:00 pm",0,9.5,0,0,0,0.16,1,1,1,0,0,1,0,9.5,0,0,0,0,0,0,0,0,0,nan,1.9
"Jan 4, 10:00 pm",0,9.1,0,0,0,0.16,1,1,1,0,0,1,0,9.1,0,0,0,0,0,0,0,0,0,nan,1.9
"Jan 4, 11:00 pm",0,8.7,0,0,0,0.16,1,1,1,0,0,1,0,8.7,0,0,0,0,0,0,0,0,0,nan,1.7
"Jan 5, 12:00 am",0,8.5,0,0,0,0.16,1,1,1,0,0,1,0,8.5,0,0,0,0,0,0,0,0,0,nan,1.5
"Jan 5, 01:00 am",0,8.5,0,0,0,0.16,1,1,1,0,0,1,0,8.5,0,0,0,0,0,0,0,0,0,nan,1.7
"Jan 5, 02:00 am",0,8.4,0,0,0,0.16,1,1,1,0,0,1,0,8.4,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 5, 03:00 am",0,8.1,0,0,0,0.16,1,1,1,0,0,1,0,8.1,0,0,0,0,0,0,0,0,0,nan,2.4
"Jan 5, 04:00 am",0,7.6,0,0,0,0.16,1,1,1,0,0,1,0,7.6,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 5, 05:00 am",0,7.2,0,0,0,0.16,1,1,1,0,0,1,0,7.2,0,0,0,0,0,0,0,0,0,nan,2.1
"Jan 5, 06:00 am",0,7,0,0,0,0.16,1,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 5, 07:00 am",0.0128798,7.4,12.8798,12.8798,78.3303,0.16,1,1,1,17.146,0,1,75.1183,8.15664,0,37.7256,0.0128798,1,0,32.0309,105,17,20,nan,2.5
"Jan 5, 08:00 am",0.235167,8.8,235.167,235.167,66.356,0.16,1,1,1,247.6,0,1,94.9789,15.6614,0,288.623,0.235167,1,0,277.384,513,61,162,nan,2.9
"Jan 5, 09:00 am",0.432602,10.6,432.602,432.602,55.3729,0.16,1,1,1,452.287,0,1,95.6477,21.7386,0,510.57,0.432602,1,0,507.282,707,80,318,nan,3.5
"Jan 5, 10:00 am",0.540082,12.3,540.082,540.082,46.4205,0.16,1,1,1,563.715,0,1,95.8076,25.3874,0,647.283,0.540082,1,0,643.227,747,98,424,nan,4
"Jan 5, 11:00 am",0.628658,13.6,628.658,628.658,40.8937,0.16,1,1,1,655.546,0,1,95.8985,27.9668,0,762.252,0.628658,1,0,758.477,854,86,507,nan,4.5
"Jan 5, 12:00 pm",0.638494,14.4,638.494,638.494,40.241,0.16,1,1,1,665.742,0,1,95.907,28.0829,0,774.826,0.638494,1,0,771.033,862,86,516,nan,5
"Jan 5, 01:00 pm",0.584912,14.6,584.912,584.912,44.6776,0.16,1,1,1,610.192,0,1,95.857,26.7404,0,704.252,0.584912,1,0,700.685,834,82,462,nan,5.2
"Jan 5, 02:00 pm",0.474705,14.2,474.705,474.705,52.9335,0.16,1,1,1,495.936,0,1,95.7189,24.3212,0,564.757,0.474705,1,0,561.702,775,72,355,nan,4.9
"Jan 5, 03:00 pm",0.300426,13.8,300.426,300.426,63.5206,0.16,1,1,1,315.255,0,1,95.2961,20.5448,0,364.073,0.300426,1,0,355.333,637,57,206,nan,4.6
"Jan 5, 04:00 pm",0.0549374,10.2,54.9374,54.9374,75.3732,0.16,1,1,1,60.7486,0,1,90.434,12.3849,0,111.183,0.0549374,1,0,98.1484,276,29,49,nan,3.1
"Jan 5, 05:00 pm",0,8.8,0,0,0,0.16,1,1,1,0,0,1,0,8.8,0,0,0,0,0,0,0,0,0,nan,3
"Jan 5, 06:00 pm",0,8,0,0,0,0.16,1,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,nan,3
"Jan 5, 07:00 pm",0,7.3,0,0,0,0.16,1,1,1,0,0,1,0,7.3,0,0,0,0,0,0,0,0,0,nan,3
"Jan 5, 08:00 pm",0,6.7,0,0,0,0.16,1,1,1,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,nan,2.9
"Jan 5, 09:00 pm",0,6,0,0,0,0.16,1,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,nan,2.6
"Jan 5, 10:00 pm",0,5.4,0,0,0,0.16,1,1,1,0,0,1,0,5.4,0,0,0,0,0,0,0,0,0,nan,2.2
"Jan 5, 11:00 pm",0,5,0,0,0,0.16,1,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,nan,1.9
"Jan 6, 12:00 am",0,5,0,0,0,0.16,1,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,nan,1.9
"Jan 6, 01:00 am",0,5.3,0,0,0,0.16,1,1,1,0,0,1,0,5.3,0,0,0,0,0,0,0,0,0,nan,1.9
"Jan 6, 02:00 am",0,5.5,0,0,0,0.16,1,1,1,0,0,1,0,5.5,0,0,0,0,0,0,0,0,0,nan,1.7
"Jan 6, 03:00 am",0,5.2,0,0,0,0.16,1,1,1,0,0,1,0,5.2,0,0,0,0,0,0,0,0,0,nan,1.4
"Jan 6, 04:00 am",0,4.7,0,0,0,0.16,1,1,1,0,0,1,0,4.7,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 6, 05:00 am",0,4.4,0,0,0,0.16,1,1,1,0,0,1,0,4.4,0,0,0,0,0,0,0,0,0,nan,1.3
"Jan 6, 06:00 am",0,4.4,0,0,0,0.16,1,1,1,0,0,1,0,4.4,0,0,0,0,0,0,0,0,0,nan,1.1
"Jan 6, 07:00 am",0.00795152,5.2,7.95152,7.95152,78.3737,0.16,1,1,1,12.0367,0,1,66.0606,5.93134,0,26.0726,0.00795152,1,0,22.6054,62,14,16,nan,1
"Jan 6, 08:00 am",0.196702,7.3,196.702,196.702,66.3807,0.16,1,1,1,207.721,0,1,94.6953,15.6473,0,242.812,0.196702,1,0,233.733,371,72,145,nan,1.1
"Jan 6, 09:00 am",0.0402582,9.5,40.2582,40.2582,55.3694,0.16,1,1,1,45.5302,0,1,88.4209,11.3684,0,54.04,0.0402582,1,0,52.5584,0,57,57,nan,1.1
"Jan 6, 10:00 am",0.0587847,11.2,58.7847,58.7847,46.3783,0.16,1,1,1,64.7373,0,1,90.805,13.9245,0,76.9561,0.0587847,1,0,74.8464,0,81,81,nan,1
"Jan 6, 11:00 am",0.0687464,12.4,68.7464,68.7464,40.8046,0.16,1,1,1,75.0649,0,1,91.5826,15.6545,0,89.6899,0.0687464,1,0,87.2317,0,94,94,nan,0.9
"Jan 6, 12:00 pm",0.0618875,13.1,61.8875,61.8875,40.1104,0.16,1,1,1,67.9541,0,1,91.0726,16.0632,0,81.6729,0.0618875,1,0,79.4338,0,86,86,nan,0.9
"Jan 6, 01:00 pm",0.0806861,13.4,80.6861,80.6861,44.5259,0.16,1,1,1,87.4433,0,1,92.2725,17.0879,0,104.206,0.0806861,1,0,101.352,0,108,108,nan,1
"Jan 6, 02:00 pm",0.292046,13,292.046,292.046,52.7784,0.16,1,1,1,306.568,0,1,95.2632,25.3365,0,355.441,0.292046,1,0,351.062,331,124,246,nan,1.1
"Jan 6, 03:00 pm",0.243949,12.6,243.949,243.949,63.3705,0.16,1,1,1,256.704,0,1,95.0313,23.2629,0,300.77,0.243949,1,0,293.573,435,82,185,nan,1
"Jan 6, 04:00 pm",0.0400411,8.6,40.0411,40.0411,75.2339,0.16,1,1,1,45.3051,0,1,88.381,11.1283,0,76.5205,0.0400411,1,0,69.7182,132,29,39,nan,0.8
"Jan 6, 05:00 pm",0,7.4,0,0,0,0.16,1,1,1,0,0,1,0,7.4,0,0,0,0,0,0,0,0,0,nan,1
"Jan 6, 06:00 pm",0,7.1,0,0,0,0.16,1,1,1,0,0,1,0,7.1,0,0,0,0,0,0,0,0,0,nan,1
"Jan 6, 07:00 pm",0,7.2,0,0,0,0.16,1,1,1,0,0,1,0,7.2,0,0,0,0,0,0,0,0,0,nan,0.9
"Jan 6, 08:00 pm",0,7.3,0,0,0,0.16,1,1,1,0,0,1,0,7.3,0,0,0,0,0,0,0,0,0,nan,0.7
"Jan 6, 09:00 pm",0,7,0,0,0,0.16,1,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,nan,0.6
"Jan 6, 10:00 pm",0,6.5,0,0,0,0.16,1,1,1,0,0,1,0,6.5,0,0,0,0,0,0,0,0,0,nan,0.6
"Jan 6, 11:00 pm",0,6.2,0,0,0,0.16,1,1,1,0,0,1,0,6.2,0,0,0,0,0,0,0,0,0,nan,0.6
"Jan 7, 12:00 am",0,6,0,0,0,0.16,1,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,nan,0.6
"Jan 7, 01:00 am",0,5.9,0,0,0,0.16,1,1,1,0,0,1,0,5.9,0,0,0,0,0,0,0,0,0,nan,0.6
"Jan 7, 02:00 am",0,5.7,0,0,0,0.16,1,1,1,0,0,1,0,5.7,0,0,0,0,0,0,0,0,0,nan,0.5
"Jan 7, 03:00 am",0,5.6,0,0,0,0.16,1,1,1,0,0,1,0,5.6,0,0,0,0,0,0,0,0,0,nan,0.5
"Jan 7, 04:00 am",0,5.3,0,0,0,0.16,1,1,1,0,0,1,0,5.3,0,0,0,0,0,0,0,0,0,nan,0.5
"Jan 7, 05:00 am",0,5.1,0,0,0,0.16,1,1,1,0,0,1,0,5.1,0,0,0,0,0,0,0,0,0,nan,0.5
"Jan 7, 06:00 am",0,5.2,0,0,0,0.16,1,1,1,0,0,1,0,5.2,0,0,0,0,0,0,0,0,0,nan,0.5
"Jan 7, 07:00 am",0.0072248,6.2,7.2248,7.2248,78.4191,0.16,1,1,1,11.2833,0,1,64.031,7.01202,0,24.4185,0.0072248,1,0,21.3486,54,14,16,nan,0.4
"Jan 7, 08:00 am",0.194907,8.5,194.907,194.907,66.4017,0.16,1,1,1,205.86,0,1,94.6793,18.025,0,242.767,0.194907,1,0,233.739,360,76,147,nan,0.6
"Jan 7, 09:00 am",0.0649789,11,64.9789,64.9789,55.3608,0.16,1,1,1,71.159,0,1,91.3151,13.8982,0,83.815,0.0649789,1,0,81.5646,3,85,86,nan,1.1
"Jan 7, 10:00 am",0.109292,13.1,109.292,109.292,46.3301,0.16,1,1,1,117.1,0,1,93.3322,17.5395,0,138.113,0.109292,1,0,134.39,3,138,139,nan,1.4
"Jan 7, 11:00 am",0.132601,14.4,132.601,132.601,40.7089,0.16,1,1,1,141.265,0,1,93.8667,19.9092,0,167.579,0.132601,1,0,163.215,11,161,166,nan,1.3
"Jan 7, 12:00 pm",0.138603,14.8,138.603,138.603,39.9736,0.16,1,1,1,147.487,0,1,93.9759,20.8492,0,175.319,0.138603,1,0,170.867,17,164,173,nan,1.1
"Jan 7, 01:00 pm",0.128528,14.8,128.528,128.528,44.3691,0.16,1,1,1,137.043,0,1,93.7869,20.7078,0,162.572,0.128528,1,0,158.587,24,141,152,nan,0.9
"Jan 7, 02:00 pm",0.0870112,14.1,87.0112,87.0112,52.6198,0.16,1,1,1,94.0007,0,1,92.5644,18.3851,0,111.701,0.0870112,1,0,108.661,1,113,113,nan,0.7
"Jan 7, 03:00 pm",0.137982,13.6,137.982,137.982,63.2186,0.16,1,1,1,146.844,0,1,93.9651,20.4235,0,172.916,0.137982,1,0,168.8,216,57,109,nan,0.6
"Jan 7, 04:00 pm",0.0513794,9.7,51.3794,51.3794,75.0956,0.16,1,1,1,57.06,0,1,90.0446,12.9008,0,92.8916,0.0513794,1,0,83.8957,183,31,45,nan,0.7
"Jan 7, 05:00 pm",0,8.1,0,0,0,0.16,1,1,1,0,0,1,0,8.1,0,0,0,0,0,0,0,0,0,nan,0.8
"Jan 7, 06:00 pm",0,7.5,0,0,0,0.16,1,1,1,0,0,1,0,7.5,0,0,0,0,0,0,0,0,0,nan,0.8
